               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.029152,             0.02219,                   0,             0.72776,             0.68045,             0.73991,             0.41415,            0.039748,            0.017512,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.029261,            0.022355,                   0,             0.73817,             0.68788,             0.72712,              0.4203,            0.039055,            0.017375,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.030192,            0.022381,                   0,             0.76873,             0.61515,             0.70563,             0.39553,             0.04049,            0.017667,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.029157,            0.021752,                   0,             0.74701,             0.65758,             0.72341,             0.43346,            0.039916,            0.017283,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.029051,            0.020874,                   0,             0.81454,             0.66547,              0.7563,             0.43695,            0.038826,            0.017189,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.027914,            0.021638,                   0,             0.73365,             0.71515,             0.75424,             0.45854,            0.037884,            0.016874,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.027155,            0.021001,                   0,             0.81698,             0.67576,             0.77119,             0.45559,            0.037701,            0.016834,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.027751,            0.020278,                   0,             0.77213,             0.64242,             0.73224,             0.44128,            0.037591,            0.017515,                   0,            0.005545,            0.005545,            0.005545
                  47,             0.02762,            0.020553,                   0,             0.83691,             0.60647,              0.7397,             0.44453,             0.03882,             0.01878,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.027397,            0.020049,                   0,             0.74072,             0.67524,             0.73225,             0.42278,             0.03985,            0.017244,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.02657,            0.020102,                   0,             0.80823,             0.63333,             0.74803,             0.44416,            0.038639,            0.016944,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.026705,             0.01895,                   0,             0.83221,             0.61623,             0.72361,             0.42858,            0.038635,            0.019348,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.027521,            0.019102,                   0,              0.7189,             0.69697,             0.74245,             0.45516,            0.037733,            0.017218,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.027012,            0.020529,                   0,             0.81524,             0.71212,             0.77779,             0.46995,             0.03888,            0.017052,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.026244,            0.020581,                   0,             0.74093,             0.67576,             0.72584,             0.44171,            0.038201,            0.017524,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.025588,            0.020312,                   0,             0.75034,             0.69697,             0.74631,             0.43913,            0.038407,            0.017342,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.025617,             0.01928,                   0,              0.7477,             0.73939,             0.76828,             0.46778,            0.036301,            0.016778,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.025944,            0.020254,                   0,             0.78318,             0.68958,             0.75294,             0.45914,            0.037556,            0.016866,                   0,            0.004555,            0.004555,            0.004555
